기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,당월_매출_금액,당월_매출_건수,점포수,당월_매출금액/점포수,당월_매출건수/점포수,총_유동인구_수,총_직장_인구_수,총 상주인구 수,아파트_단지_수,아파트_평균_면적,아파트_평균_시가,시군구_코드
2020,2,A,골목상권,1000535,신월로20길,HH,정체,122,68,2070313422.0,139594,32,64697294.4375,4362.3125,691975,47,1902,8,67,264556227,11470
2020,2,A,골목상권,1000534,신월로15길,LH,상권확장,105,54,7756682087.0,551982,156,49722321.070512824,3538.346153846154,1454051,357,5660,96,58,143298485,11470
2020,2,A,골목상권,1000533,신목로6길,LL,다이나믹,111,50,7121779586.0,395320,153,46547578.99346405,2583.7908496732025,987721,582,2387,18,57,233052545,11470
2020,2,A,골목상권,1000532,신목로5길,LL,다이나믹,94,50,5025174281.0,108943,123,40855075.45528455,885.7154471544716,557566,645,2173,12,61,251205465,11470
2020,2,A,골목상권,1000531,신목로2길,LL,다이나믹,105,52,2270526954.0,120138,70,32436099.34285714,1716.2571428571428,760376,386,1991,6,71,317684944,11470
2020,2,A,골목상권,1000530,목동중앙서로8가길,LL,다이나믹,110,44,3470840856.0,111227,73,47545765.15068493,1523.6575342465753,364308,317,1314,24,54,155055825,11470
2020,2,A,골목상권,1000529,목동중앙서로7길,LL,다이나믹,105,44,2563369092.0,205782,124,20672331.387096774,1659.532258064516,962423,75,3700,96,51,141473029,11470
2020,2,A,골목상권,1000528,목동중앙북로8길,LL,다이나믹,91,51,471806325.0,17698,44,10722871.022727273,402.22727272727275,435772,171,2052,36,48,154348752,11470
2020,2,A,골목상권,1000527,목동중앙북로16길,LL,다이나믹,78,50,486090899.0,45834,29,16761755.137931034,1580.4827586206898,710861,488,3486,136,50,174074407,11470
2020,2,A,골목상권,1000526,목동중앙본로7길,LH,상권확장,104,55,5370942821.0,316061,102,52656302.166666664,3098.6372549019607,673135,131,2850,77,53,157973891,11470
